Date : 2023-10-19 16:33:43
Directory : c:\xampp\htdocs\licor-house
Total : 305 files,  116207 codes, 13229 comments, 23039 blanks, all 152475 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public\vendor\adminlte\dist                                                                                 |          5 |     45,900 |        367 |      9,892 |     56,159 |
| public\vendor\adminlte\dist\css                                                                             |          2 |     43,651 |         31 |      9,342 |     53,024 |
| public\vendor\adminlte\dist\js                                                                              |          3 |      2,249 |        336 |        550 |      3,135 |
| public\vendor\bootstrap                                                                                     |          4 |      7,782 |      1,506 |      2,057 |     11,345 |
| public\vendor\bootstrap\js                                                                                  |          4 |      7,782 |      1,506 |      2,057 |     11,345 |
| public\vendor\fontawesome-free                                                                              |         17 |     17,647 |         60 |      3,677 |     21,384 |
| public\vendor\fontawesome-free\css                                                                          |         14 |      8,095 |         60 |      3,674 |     11,829 |
| public\vendor\fontawesome-free\webfonts                                                                     |          3 |      9,552 |          0 |          3 |      9,555 |
| public\vendor\jquery                                                                                        |          2 |      6,896 |      1,912 |      2,077 |     10,885 |
| public\vendor\overlayScrollbars                                                                             |          6 |      9,433 |      2,252 |      1,229 |     12,914 |
| public\vendor\overlayScrollbars\css                                                                         |          2 |        606 |         36 |          7 |        649 |
| public\vendor\overlayScrollbars\js                                                                          |          4 |      8,827 |      2,216 |      1,222 |     12,265 |
| public\vendor\popper                                                                                        |         12 |      5,465 |      4,257 |      1,348 |     11,070 |
| public\vendor\popper (Files)                                                                                |          4 |      1,706 |      1,419 |        413 |      3,538 |
| public\vendor\popper\esm                                                                                    |          4 |      1,859 |      1,419 |        465 |      3,743 |
| public\vendor\popper\umd                                                                                    |          4 |      1,900 |      1,419 |        470 |      3,789 |
| resources                                                                                                   |         76 |      2,494 |         25 |        499 |      3,018 |
| resources\css                                                                                               |          1 |          6 |          0 |          2 |          8 |
| resources\js                                                                                                |          2 |          4 |         23 |          8 |         35 |
| resources\markdown                                                                                          |          2 |          4 |          0 |          4 |          8 |
| resources\views                                                                                             |         71 |      2,480 |          2 |        485 |      2,967 |
| resources\views (Files)                                                                                     |          5 |        343 |          0 |         62 |        405 |
| resources\views\api                                                                                         |          2 |        156 |          0 |         28 |        184 |
| resources\views\auth                                                                                        |          7 |        276 |          0 |         58 |        334 |
| resources\views\categorias                                                                                  |          3 |        102 |          0 |         23 |        125 |
| resources\views\client                                                                                      |          4 |        172 |          2 |         24 |        198 |
| resources\views\components                                                                                  |         28 |        426 |          0 |         88 |        514 |
| resources\views\dash                                                                                        |          1 |         14 |          0 |          5 |         19 |
| resources\views\emails                                                                                      |          1 |         16 |          0 |          8 |         24 |
| resources\views\inventarios                                                                                 |          3 |        139 |          0 |         30 |        169 |
| resources\views\layouts                                                                                     |          3 |        109 |          0 |         24 |        133 |
| resources\views\notaventa                                                                                   |          2 |         78 |          0 |         14 |         92 |
| resources\views\productos                                                                                   |          3 |        165 |          0 |         28 |        193 |
| resources\views\profile                                                                                     |          6 |        387 |          0 |         73 |        460 |
| resources\views\usuarios                                                                                    |          3 |         97 |          0 |         20 |        117 |
| routes                                                                                                      |          4 |         44 |         49 |         19 |        112 |
| tests                                                                                                       |         17 |        572 |         10 |        212 |        794 |
| tests (Files)                                                                                               |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                                               |         14 |        542 |          4 |        198 |        744 |
| tests\Unit                                                                                                  |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                      |         27 |      5,475 |      1,195 |      1,086 |      7,756 |
| vendor\almasaeed2010                                                                                        |         25 |      5,468 |      1,193 |      1,085 |      7,746 |
| vendor\almasaeed2010\adminlte                                                                               |         25 |      5,468 |      1,193 |      1,085 |      7,746 |
| vendor\almasaeed2010\adminlte\plugins                                                                       |         25 |      5,468 |      1,193 |      1,085 |      7,746 |
| vendor\almasaeed2010\adminlte\plugins\flot                                                                  |         25 |      5,468 |      1,193 |      1,085 |      7,746 |
| vendor\almasaeed2010\adminlte\plugins\flot\plugins                                                          |         25 |      5,468 |      1,193 |      1,085 |      7,746 |
| vendor\spatie                                                                                               |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                      |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                            |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                   |          2 |          7 |          2 |          1 |         10 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                    | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\licor-house\README.md                                                                       | Markdown   |         45 |          0 |         22 |         67 |
| c:\xampp\htdocs\licor-house\app\Actions\Fortify\CreateNewUser.php                                           | PHP        |         25 |          5 |          6 |         36 |
| c:\xampp\htdocs\licor-house\app\Actions\Fortify\PasswordValidationRules.php                                 | PHP        |         10 |          5 |          4 |         19 |
| c:\xampp\htdocs\licor-house\app\Actions\Fortify\ResetUserPassword.php                                       | PHP        |         19 |          5 |          6 |         30 |
| c:\xampp\htdocs\licor-house\app\Actions\Fortify\UpdateUserPassword.php                                      | PHP        |         22 |          5 |          6 |         33 |
| c:\xampp\htdocs\licor-house\app\Actions\Fortify\UpdateUserProfileInformation.php                            | PHP        |         39 |         10 |          8 |         57 |
| c:\xampp\htdocs\licor-house\app\Actions\Jetstream\DeleteUser.php                                            | PHP        |         13 |          3 |          4 |         20 |
| c:\xampp\htdocs\licor-house\app\Console\Kernel.php                                                          | PHP        |         15 |          7 |          6 |         28 |
| c:\xampp\htdocs\licor-house\app\Exceptions\Handler.php                                                      | PHP        |         17 |          9 |          5 |         31 |
| c:\xampp\htdocs\licor-house\app\Http\Controllers\CategoriaController.php                                    | PHP        |         50 |          1 |         15 |         66 |
| c:\xampp\htdocs\licor-house\app\Http\Controllers\Controller.php                                             | PHP        |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\licor-house\app\Http\Controllers\DetalleController.php                                      | PHP        |         61 |          0 |         15 |         76 |
| c:\xampp\htdocs\licor-house\app\Http\Controllers\InventarioController.php                                   | PHP        |         62 |          2 |         11 |         75 |
| c:\xampp\htdocs\licor-house\app\Http\Controllers\NotaVentaController.php                                    | PHP        |         92 |          2 |         17 |        111 |
| c:\xampp\htdocs\licor-house\app\Http\Controllers\ProductoController.php                                     | PHP        |         71 |          1 |         14 |         86 |
| c:\xampp\htdocs\licor-house\app\Http\Controllers\UsuarioController.php                                      | PHP        |         49 |          1 |         10 |         60 |
| c:\xampp\htdocs\licor-house\app\Http\Kernel.php                                                             | PHP        |         41 |         21 |          7 |         69 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\Authenticate.php                                            | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\EncryptCookies.php                                          | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\PreventRequestsDuringMaintenance.php                        | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\RedirectIfAuthenticated.php                                 | PHP        |         20 |          5 |          6 |         31 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\TrimStrings.php                                             | PHP        |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\TrustHosts.php                                              | PHP        |         12 |          5 |          4 |         21 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\TrustProxies.php                                            | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\ValidateSignature.php                                       | PHP        |          8 |         11 |          4 |         23 |
| c:\xampp\htdocs\licor-house\app\Http\Middleware\VerifyCsrfToken.php                                         | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\licor-house\app\Models\Categoria.php                                                        | PHP        |         13 |          0 |          4 |         17 |
| c:\xampp\htdocs\licor-house\app\Models\Detalleventa.php                                                     | PHP        |         15 |          1 |          6 |         22 |
| c:\xampp\htdocs\licor-house\app\Models\Inventario.php                                                       | PHP        |         24 |          0 |          8 |         32 |
| c:\xampp\htdocs\licor-house\app\Models\Notaventa.php                                                        | PHP        |         19 |          1 |          7 |         27 |
| c:\xampp\htdocs\licor-house\app\Models\Producto.php                                                         | PHP        |         20 |          1 |          5 |         26 |
| c:\xampp\htdocs\licor-house\app\Models\User.php                                                             | PHP        |         41 |         21 |         10 |         72 |
| c:\xampp\htdocs\licor-house\app\Models\Usuario.php                                                          | PHP        |         16 |          1 |          5 |         22 |
| c:\xampp\htdocs\licor-house\app\Providers\AppServiceProvider.php                                            | PHP        |         15 |          8 |          4 |         27 |
| c:\xampp\htdocs\licor-house\app\Providers\AuthServiceProvider.php                                           | PHP        |         11 |         11 |          5 |         27 |
| c:\xampp\htdocs\licor-house\app\Providers\BroadcastServiceProvider.php                                      | PHP        |         12 |          3 |          5 |         20 |
| c:\xampp\htdocs\licor-house\app\Providers\EventServiceProvider.php                                          | PHP        |         21 |         12 |          6 |         39 |
| c:\xampp\htdocs\licor-house\app\Providers\FortifyServiceProvider.php                                        | PHP        |         32 |          7 |          8 |         47 |
| c:\xampp\htdocs\licor-house\app\Providers\JetstreamServiceProvider.php                                      | PHP        |         26 |         10 |          8 |         44 |
| c:\xampp\htdocs\licor-house\app\Providers\RouteServiceProvider.php                                          | PHP        |         24 |         10 |          8 |         42 |
| c:\xampp\htdocs\licor-house\app\View\Components\AppLayout.php                                               | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\licor-house\app\View\Components\GuestLayout.php                                             | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\licor-house\bootstrap\app.php                                                               | PHP        |         17 |         30 |          9 |         56 |
| c:\xampp\htdocs\licor-house\composer.json                                                                   | JSON       |         71 |          0 |          1 |         72 |
| c:\xampp\htdocs\licor-house\composer.lock                                                                   | JSON       |      9,074 |          0 |          1 |      9,075 |
| c:\xampp\htdocs\licor-house\config\adminlte.php                                                             | PHP        |        269 |        215 |         41 |        525 |
| c:\xampp\htdocs\licor-house\config\app.php                                                                  | PHP        |         29 |        131 |         31 |        191 |
| c:\xampp\htdocs\licor-house\config\auth.php                                                                 | PHP        |         28 |         74 |         14 |        116 |
| c:\xampp\htdocs\licor-house\config\broadcasting.php                                                         | PHP        |         36 |         23 |         13 |         72 |
| c:\xampp\htdocs\licor-house\config\cache.php                                                                | PHP        |         59 |         34 |         19 |        112 |
| c:\xampp\htdocs\licor-house\config\cors.php                                                                 | PHP        |          3 |         29 |          3 |         35 |
| c:\xampp\htdocs\licor-house\config\database.php                                                             | PHP        |         83 |         47 |         22 |        152 |
| c:\xampp\htdocs\licor-house\config\filesystems.php                                                          | PHP        |         33 |         32 |         13 |         78 |
| c:\xampp\htdocs\licor-house\config\fortify.php                                                              | PHP        |         29 |        106 |         26 |        161 |
| c:\xampp\htdocs\licor-house\config\hashing.php                                                              | PHP        |         12 |         32 |          9 |         53 |
| c:\xampp\htdocs\licor-house\config\jetstream.php                                                            | PHP        |         13 |         54 |         15 |         82 |
| c:\xampp\htdocs\licor-house\config\logging.php                                                              | PHP        |         79 |         34 |         19 |        132 |
| c:\xampp\htdocs\licor-house\config\mail.php                                                                 | PHP        |         54 |         53 |         19 |        126 |
| c:\xampp\htdocs\licor-house\config\queue.php                                                                | PHP        |         51 |         42 |         17 |        110 |
| c:\xampp\htdocs\licor-house\config\sanctum.php                                                              | PHP        |         17 |         53 |         14 |         84 |
| c:\xampp\htdocs\licor-house\config\services.php                                                             | PHP        |         17 |         11 |          7 |         35 |
| c:\xampp\htdocs\licor-house\config\session.php                                                              | PHP        |         22 |        147 |         33 |        202 |
| c:\xampp\htdocs\licor-house\config\view.php                                                                 | PHP        |         10 |         20 |          7 |         37 |
| c:\xampp\htdocs\licor-house\database\factories\UserFactory.php                                              | PHP        |         48 |         14 |          7 |         69 |
| c:\xampp\htdocs\licor-house\database\migrations\2014_10_12_000000_create_users_table.php                    | PHP        |         25 |          6 |          4 |         35 |
| c:\xampp\htdocs\licor-house\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php    | PHP        |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\licor-house\database\migrations\2014_10_12_200000_add_two_factor_columns_to_users_table.php | PHP        |         35 |          6 |          6 |         47 |
| c:\xampp\htdocs\licor-house\database\migrations\2019_08_19_000000_create_failed_jobs_table.php              | PHP        |         23 |          6 |          4 |         33 |
| c:\xampp\htdocs\licor-house\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php   | PHP        |         24 |          6 |          4 |         34 |
| c:\xampp\htdocs\licor-house\database\migrations\2020_06_14_000001_create_media_table.php                    | PHP        |         23 |          5 |          4 |         32 |
| c:\xampp\htdocs\licor-house\database\migrations\2023_10_12_194350_create_sessions_table.php                 | PHP        |         22 |          6 |          4 |         32 |
| c:\xampp\htdocs\licor-house\database\seeders\DatabaseSeeder.php                                             | PHP        |          9 |          9 |          5 |         23 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ar\adminlte.php                                            | PHP        |         20 |          0 |          2 |         22 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\bn\adminlte.php                                            | PHP        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\bn\iframe.php                                              | PHP        |         10 |         10 |          5 |         25 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\bn\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ca\adminlte.php                                            | PHP        |         20 |          0 |          2 |         22 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\de\adminlte.php                                            | PHP        |         25 |          0 |          3 |         28 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\de\iframe.php                                              | PHP        |         10 |         10 |          5 |         25 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\de\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\en\adminlte.php                                            | PHP        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\en\iframe.php                                              | PHP        |         10 |         10 |          5 |         25 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\en\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\es\adminlte.php                                            | PHP        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\es\iframe.php                                              | PHP        |         10 |         10 |          5 |         25 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\es\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fa\adminlte.php                                            | PHP        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fa\iframe.php                                              | PHP        |         10 |         10 |          4 |         24 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fa\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fr\adminlte.php                                            | PHP        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fr\iframe.php                                              | PHP        |         10 |         10 |          5 |         25 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\fr\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\hr\adminlte.php                                            | PHP        |         20 |          0 |          3 |         23 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\hu\adminlte.php                                            | PHP        |         20 |          0 |          2 |         22 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\id\adminlte.php                                            | PHP        |         26 |          0 |          3 |         29 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\id\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\it\adminlte.php                                            | PHP        |         20 |          0 |          3 |         23 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\it\iframe.php                                              | PHP        |         10 |         10 |          4 |         24 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\it\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ja\adminlte.php                                            | PHP        |         25 |          0 |          3 |         28 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ja\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\la\adminlte.php                                            | PHP        |         20 |          0 |          3 |         23 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\la\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\nl\adminlte.php                                            | PHP        |         20 |          0 |          3 |         23 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pl\adminlte.php                                            | PHP        |         26 |          0 |          3 |         29 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pl\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pt-br\adminlte.php                                         | PHP        |         26 |          0 |          3 |         29 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\pt-br\menu.php                                             | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ru\adminlte.php                                            | PHP        |         20 |          0 |          4 |         24 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\ru\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sk\adminlte.php                                            | PHP        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sk\iframe.php                                              | PHP        |         10 |         10 |          5 |         25 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sk\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sr\adminlte.php                                            | PHP        |         26 |          0 |          3 |         29 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\sr\menu.php                                                | PHP        |         19 |          0 |          3 |         22 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\tr\adminlte.php                                            | PHP        |         26 |          0 |          4 |         30 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\tr\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\uk\adminlte.php                                            | PHP        |         20 |          0 |          4 |         24 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\uk\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\vi\adminlte.php                                            | PHP        |         20 |          0 |          3 |         23 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\vi\menu.php                                                | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\zh-CN\adminlte.php                                         | PHP        |         20 |          0 |          3 |         23 |
| c:\xampp\htdocs\licor-house\lang\vendor\adminlte\zh-CN\menu.php                                             | PHP        |         17 |          0 |          3 |         20 |
| c:\xampp\htdocs\licor-house\package-lock.json                                                               | JSON       |      1,809 |          0 |          1 |      1,810 |
| c:\xampp\htdocs\licor-house\package.json                                                                    | JSON       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\licor-house\phpunit.xml                                                                     | XML        |         29 |          2 |          1 |         32 |
| c:\xampp\htdocs\licor-house\postcss.config.js                                                               | JavaScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\licor-house\public\css\compras.css                                                          | CSS        |         37 |          1 |          9 |         47 |
| c:\xampp\htdocs\licor-house\public\css\navbar.css                                                           | CSS        |         70 |          9 |         16 |         95 |
| c:\xampp\htdocs\licor-house\public\css\principal.css                                                        | CSS        |         23 |          0 |          6 |         29 |
| c:\xampp\htdocs\licor-house\public\css\producto.css                                                         | CSS        |        133 |          2 |         29 |        164 |
| c:\xampp\htdocs\licor-house\public\index.php                                                                | PHP        |         14 |         30 |         12 |         56 |
| c:\xampp\htdocs\licor-house\public\js\producto.js                                                           | JavaScript |         77 |          9 |         24 |        110 |
| c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\css\adminlte.css                                    | CSS        |     43,649 |         21 |      9,342 |     53,012 |
| c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\css\adminlte.min.css                                | CSS        |          2 |         10 |          0 |         12 |
| c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\js\.eslintrc.json                                   | JSON       |         57 |          0 |          1 |         58 |
| c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\js\adminlte.js                                      | JavaScript |      2,191 |        330 |        549 |      3,070 |
| c:\xampp\htdocs\licor-house\public\vendor\adminlte\dist\js\adminlte.min.js                                  | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.bundle.js                                  | JavaScript |      4,510 |      1,272 |      1,191 |      6,973 |
| c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.bundle.min.js                              | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.js                                         | JavaScript |      3,270 |        222 |        866 |      4,358 |
| c:\xampp\htdocs\licor-house\public\vendor\bootstrap\js\bootstrap.min.js                                     | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\all.css                                      | CSS        |      3,110 |          6 |      1,501 |      4,617 |
| c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\all.min.css                                  | CSS        |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\brands.css                                   | CSS        |         10 |          4 |          2 |         16 |
| c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\brands.min.css                               | CSS        |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\licor-house\public\vendor\fontawesome-free\css\fontawesome.css                              | CSS        |      3,079 |          6 |      1,498 |      4,583 |
